COLLEGE_NAME,ADDRESS,DISTRICT,STATE,OFFICE_NUMBER,EMAIl,WEBSITE_LINK
National Power Training Institute,Npti Complex; Sector-33; Faridabad Pincode - 121003 Faridabad (Dist) Haryana,NEW DELHI,Delhi,0-129-2275475/ 2277412,npti_hq@yahoo.co.in//  nptifaridabad@npti.in,http://www.npti.in/
Engineering College for Women,G.b. Pant Poly. Campus Okhla Delhi North Delhi (Dist) Delhi,NORTH DELHI,Delhi,,engineergirl@nae.edu,
Maharaja Surajmal Institute of Technology,C-4; Janak Puri Pincode - 110058 New Delhi (Dist) Delhi,NEW DELHI,Delhi,011-25552667/25528117,diretor@msit.in,http://msit.in/
International Institute of Fashion Technology,H - 12; South Extn. - I New Delhi Pincode - 110049 South Delhi (Dist) Delhi,SOUTH DELHI,Delhi,011-24620430/24629370/29245316/29235314/15,iift.prateek@gmail.com,www.iiftgroup.com
JBTC Institute of Management,Delhi Ncr Pincode - 110093 East Delhi (Dist) Delhi,EAST DELHI,Delhi,8800718283,jbtcinstitute@gmail.com,www.jbtcinstitute.edu.in
Netaji Subash Institute of Technology,Ajad Hind Fauj Marg Sector-3 Dwarka Delhi - 110045 New Delhi (Dist) Delhi,NEW DELHI,Delhi,,director@nsit.ac.in,
Faculty of Engineering and Technology,Jamia Milia Islamia; Mohd. Ali Jauhar Marg Delhi - 110025 New Delhi (Dist) Delhi,NEW DELHI,Delhi,,,
Guru Teg Bahadur Institute of Technology,G-8 Area Rajouri Garden G.h.p.s. Premises; (per) Vasant Vihar Pincode - 110070 South West Delhi (Dist) Delhi,SOUTH WEST DELHI,Delhi,011-25404336,gtbit@rediffmail.com,www.gtbit.org
Delhi Kannada Education Society's Institute,No.3; Lodhi Estate Pincode - 110003 New Delhi (Dist) Delhi,NEW DELHI,Delhi,+91 11 24655697,dkesscs@dkes_scs.com,http://www.dkes-scs.com/
London International College of Law Technology and Management,104; Level-i; B-wing; Statesman House; Barakhamba Road; Connaught Place Pincode - 110024 New Delhi (Dist) Delhi,NEW DELHI,Delhi,9650690041,info@londoninternational.ac.in,www.londoninternational.ac.in
Banarsidas Chandiwala Institute of Information Technology,Chandiwala Estate Maa Anandmai Marg Kalkaji Pincode - 110019 South Delhi (Dist) Delhi,SOUTH DELHI,Delhi,-49558713.9,director@bcit.ac.in,http://www.bciit.ac.in/
Delhi College of Engineering,Shahbad-daulatpur Bawana Road Delhi - 110042 New Delhi (Dist) Delhi,NEW DELHI,Delhi,,mail@dce.edu,
Guru Premsukh Memorial College Of Engineering,Alipur Sonepat Road Sector 13; Rohini Delhi New Delhi (Dist) Delhi,NEW DELHI,Delhi,9873085218,premsukh@pu.edu,
JRN Institute of Aviation Technology,B-22; Main Rohatak Road; New Multan Nagar; Pincode - 110 056 New Delhi (Dist) Delhi,NEW DELHI,Delhi,11 - 25291002/32219402,jrniatnd@sify.com,
Shree Rayeshwar Institute of Engineering & Information Technology,Shiv Shail; (karai) ; Shiroda; Ponda Pincode - 403103 North Goa (Dist) Goa,NORTH GOA,Goa,0832 - 2307001 / 2307032/2307099,principal@ritgoa.com,www.ritgoa.com
Agnel Charities Agnel Seva Sangh Padre Conceicao College of Engineering|,Agnel Technical Education Complex; Agnelganv; Verna Goa India Pincode - 403722 South Goa (Dist) Goa,SOUTH GOA,Goa,(0832) 2791266/67,agnelgoa@sancharnet.in,www.pccegoa.org
Goa College of Engineering,Farmagudi North Goa P.o. Ponda Pincode - 403401 North Goa (Dist) Goa,NORTH GOA,Goa,91- 0832-2336301/302/303/401,dr@gec.ac.in/ppl@gec.ac.in,www.gec.ac.in
College of Engineering,Fermagudi North Goa (Dist) Goa,NORTH GOA,Goa,,,
Chaudhari Technical Institute,Mahila College Campus Opp: Central Bus Station Sector-7 Gandhi Nagar - 382007 Gandhinagar (Dist) Gujarat,GANDHINAGAR,Gujarat,+91 079 23235239,info@ddcti.ac.in//  cti_2k1@yahoo.com,http://www.ddcti.ac.in/
Gandhinagar Institute of Technology,Po Moti Bhoyan Taluka Kalol Via Vadasar Pincode - 02764-281860-61 Gandhinagar (Dist) Gujarat,GANDHINAGAR,Gujarat,02764-281862,git_enggcollege@yahoo.co.in,www.git.org.in
GH Patel College of Engg and Technology,Bakool Road Vallabh Vidyanagar Pincode - 388120 Anand (Dist) Gujarat,ANAND,Gujarat,-655582,bharatpatel@gcet.ac.in,www.gcet.ac.in
Valia Institute Of Technology,P.o. Valia Ankleshwar Via Bharuch Pincode - 393135 Bharuch (Dist) Gujarat,BHARUCH,Gujarat,02643-270460/242633,admin@vitvalia.ac.in/hr@vitvalia.ac.in,www.vitvalia.ac.in
Government Engineering College|Valsad,Kosamba Road Valsad Valsad - 392001 Valsad (Dist) Gujarat,VALSAD,Gujarat,02632-253015/248378,gecvalsad@rediffmail.com,
SPB Patel Engineering College,C/o Saffrony Institute Of Technology Saffrony Holiday Resort Ta Linch Mehsana Mehsana (Dist) Gujarat,MEHSANA,Gujarat,02762 285721,info@saffrony.ac.in,www.saffrony.ac.in
R.K. School of Engineering,Opp Green Farm Hostel Rajkot Bhavnagar Highway Kasturbadham Pincode - 360020 Rajkot (Dist) Gujarat,RAJKOT,Gujarat,+91 99099 52030,cdsankhavara@rku.ac.in,www.rku.ac.in
GLS Institute of Computer Technology,Opp: Law Garden Ellis Bridge Pincode - 380006 Ahmedabad (Dist) Gujarat,AHMEDABAD,Gujarat,+91 (79) 26445958,info@glsict.org /glsict@eth.net,www.glsict.org
College Of Engineering & Technology | Junagadh,Junagadh; Gujarat Junagadh - 362401 Junagadh (Dist) Gujarat,JUNAGADH,Gujarat,,,www.jau.in/caet/
Sankalchand Patel College of Engineering,Gandhinagar Ambaji Link Rd.; Visnagar Pincode - 384315 Mehsana (Dist) Gujarat,MEHSANA,Gujarat,(02765) 232008 / 227342,principal@spcevng.ac.in,www.spcevng.ac.in
Dharmsingh Desai Institute Of Technology,College Road;p.b.no.35; Nadiad Kheda Pincode - 387001 Gujarat,,Gujarat,91 - 0268 â€“ 2520502,vc@ddu.ac.in,www.ddu.ac.in
Shri S'ad Vidya Mandal Institute of Technology,Shri S Ad Vidya Mandal S Campus National Highway No. 8; Bharuch Pincode - 392002 Gujarat,,Gujarat,02642-245862/246901,info@svmit.ac.in,www.svmit.ac.in
Ahmedabad Institute of Technology,Near Vasant Nagar Township Gota Ognaj Road Ahmedabad - 380060 Ahmedabad (Dist) Gujarat,AHMEDABAD,Gujarat,-2747100835,info@aitindia.in,www.aitindia.in
Vyavsai Vidya Prathisthan'S Sanch College Of Engineering,Vajdi Virda Kalawad Road Rajkot - 360005 Rajkot (Dist) Gujarat,RAJKOT,Gujarat,0281-2783394/223933,vvp_2003@indiatimes.com,www.vvpgdulink.ac.in
Sarvajanik College of Engineering & Technology,Technology Dr. R.k. Desai Marg Opp. Mission Hospital Athwa Line Pincode - 395001 Surat (Dist) Gujarat,SURAT,Gujarat,91-0261-2240147/91-0261-2240148.,principal@scet.ac.in/info@scet.ac.in,www.scet.ac.in
Atmiya Institute of Technology & Science,Yogidham Kalwad Road Rajkot Rajkot - 360005 Rajkot (Dist) Gujarat,RAJKOT,Gujarat,0281-2563445/2563766,admin@aits.edu.in,www.aits.edu.in
Shri Chimanbhai Patel Post Graduate Institute of Computer Applications,Opp. Karnavati Club Prahlad Nagar Gandhinagar-sarkehej Highway Gandhi Nagar - 380051 Ahmedabad (Dist) Gujarat,AHMEDABAD,Gujarat,,cpimca@gmail.com,www.cpi.edu.in
CU Shah College of Engineering & Technology,Lakhu Pole Near Kotharia Village Wadhwan City Station Road Pincode - 363030 Surendranagar (Dist) Gujarat,SURENDRANAGAR,Gujarat,02752-243800/242711-13,secretaryccet97@gmail.com,www.ccetvbt.org
AV Parekh Technical Institute,Dr. Yagnik Road Rajkot Pincode - 360001 Rajkot (Dist) Gujarat,RAJKOT,Gujarat,-2480365,principal@avpti.org,www.avpti.org
Shantilal Shah Engineering College,Sidsar Povertej Bhavnagar Bhavnagar (Dist) Gujarat,BHAVNAGAR,Gujarat,91-0278-2445509/2445767,info@myssec.com,www.myssec.com
Lalbhai Dalpatbhai College of Engineering,Ramnagar Ahmadabad Mehsana - 380015 Ahmedabad (Dist) Gujarat,AHMEDABAD,Gujarat,079-6306752/26304118,ldce_ciiilp@yahoo.com,www.ldceindia.org
Sardar Vallabhbhai Patel Institute of Technolog,Behind S.t.depot Keda Valsad Pincode - 388306 Valsad (Dist) Gujarat,VALSAD,Gujarat,+91 2692 274766 / 274540 / 274489.,svit_vasadgen@rediffmail.com,www.svitvasad.ac.in
Indus Institute of Engineering & Technology,Block No. 900; 824; 886m 899 Village Ramcharda Sub Dist Kalol Pincode - 382115 Gandhinagar (Dist) Gujarat,GANDHINAGAR,Gujarat,01683 - 260666/ 260667,iietjind@gmail.com,www.iietjind.com
Kalol Institute of Technology & Research Centre,Kalol National Highway; B/h Old Janpath Hotel; Kalol - 382721 Gandhinagar (Dist) Gujarat,GANDHINAGAR,Gujarat,02764- 222604,,http://www.kirc.ac.in
A. D. Patel Institute of Technology,New Vallabh Vidyanagar P.o. Box No. 52; Vitthal Udhyog Nagar Anand - 388121 Anand (Dist) Gujarat,ANAND,Gujarat,02692-239822/233680,principal@adit.ac.in,www.adit.ac.in
KJ Institute Of Engineering And Technology,K. J. Campus; Opp. Iti; Javla-savali; Savali-halol At. Javia; Po. & Ta. Savali; Pincode - 391770 Vadodara (Dist) Gujarat,VADODARA,Gujarat,02667-222264/ 8980314190,info@kjit.org,www.kjit.org
Parul Institute of Engineering & Technology,Limda Vashodiya Pincode - 391760 Vadodara (Dist) Gujarat,VADODARA,Gujarat,02668 260204,piet@parul.ac.in,www.parul.ac.in
Government Engineering College| Bharuch,Bharuch Old National Highway No:8; Bholav; Bharuch Pincode - 392002 Bharuch (Dist) Gujarat,BHARUCH,Gujarat,(02642) 227054,gecbharuch@yahoo.co.in/principal@gecbharuch.com,www.gecbharuch.com
Babaria Institute of Technology,Vadodara Mumbai Highway Varnama Tq & Dist Vadodara Vadodara - 390020 Vadodara (Dist) Gujarat,VADODARA,Gujarat,0265-5599991-3,info@bitcampus.org.in,
Charotar Institute of Technology,Changa Petlad Anand Taluk Pincode - 388421 Anand (Dist) Gujarat,ANAND,Gujarat,02697-247500/247101,info@charusat.ac.in,www.charusat.ac.in
Government Engineering College| Modasa,Modasa Sabarkantha Modasa - 383315 Sabarkantha (Dist) Gujarat,SABARKANTHA,Gujarat,02774-242634/242633,modasa_engg@yahoo.co.in,
Government Engineering College Gandhinagar,Gandhinagar Sector 26 Opp. Tata Telecomm;k-6; Gidc Estate Gandhi Nagar - 382044 Gandhinagar (Dist) Gujarat,GANDHINAGAR,Gujarat,079-3229830/3238331,principal_gecp@yahoo.co.in,www.polytechnicgnr.org
L. Patel Centre for Science and Technology,Post Box No.13 Vallabh Vidyanagar Anand - 388120 Anand (Dist) Gujarat,ANAND,Gujarat,,,www.istar.ac.in
Government Engineering College Gandhinagar Gujarat,4th Floor Ms Building Sector 11; Gandhi Nagar Pincode - 382010 Gandhinagar (Dist) Gujarat,GANDHINAGAR,Gujarat,079-23215167,principal_gecp@yahoo.co.in,www.gecg28.ac.in
Lukhdhirji College Of Engineering,Morbi Pincode - 363012 Panchmahals (Dist) Gujarat,PANCHMAHALS,Gujarat,02822-240743/ 240645,principal@lecollege.org,www.lecollege.org
Government Engineering College Dahod,Dahod;jhalod Road Dahod Pincode - 389151 Gujarat,,Gujarat,,gec_dahod@yahoo.co.in,
Mahatma Gandhi Institute of Technical Education & Research Centre,Centre Navsari Paschim Vibhag Navsari Navsari (Dist) Gujarat,NAVSARI,Gujarat,(02637) 228272/ 228072,gitar@sify.com,www.npvgiter.org
Government Engineering College| Patan,Patan North Gujarat University Road Patan Patan - 384265 Patan (Dist) Gujarat,PATAN,Gujarat,02766-220419/220419,kdp_ac_in1@yahoo.com,
Hasmukh Goswami College of Engineering,Engg Village Vahelal Daskroi Ahmedabad (Dist) Gujarat,AHMEDABAD,Gujarat,(02718) 247138,hgceahmedabad@gmail.com,www.hgce.org
Sigma Group Of Institutes,Sigma Group Of Institutes; Bakrol; Ajwa-nimeta Roa Vadodara Pincode - 390019 Vadodara (Dist) Gujarat,VADODARA,Gujarat,9909962787,sigmainstitutes@gmail.com,http://www.sigma.ac.in/
Government Engineering College of Bhuj,Mirzapur Road Jubilee Grounds Pincode - 370001 Kutch (Dist) Gujarat,KUTCH,Gujarat,079-3220303/325909,do-61581-kut@gujarat.gov.in,http://www.gecbhuj.gujarat.gov.in/
SV National Institute of Technology,Surat Pincode - 395007 Surat (Dist) Gujarat,SURAT,Gujarat,0261-2259571/ 2259582.,jcv@svrec.erne,www.svnit.ac.in
Silver Oak College of Engineering and Technology,352;353 A ; Nr. Bhavik Publications; Opp. Bhagwat Vidyapith; Near Gota Cross Road; Pincode - 382481 Ahmedabad (Dist) Gujarat,AHMEDABAD,Gujarat,7930180000,info@socet.edu.in,www.socet.edu.in
Government Engineering College Gujarat,Jhalod Road Dahod Dahod - 389151 Dahod (Dist) Gujarat,DAHOD,Gujarat,02673-246681/246681,Gec_dahod@yahoo.com,www.polydahod@yahoo.com
LC Institute of Technology,Po Bhandu North Gujarat Visnagar Mehsana Pincode - 384120 Mehsana (Dist) Gujarat,MEHSANA,Gujarat,02765-287145/287945,principal@lcit.org,www.lcit.org
Dr. S & .S. S. Gandhi College of Engg. & Technology,Majura Gate Surat Pincode - 395001 Gujarat,,Gujarat,0261-2655799,gecsrt@yahoo.com,www.ghandhycollegesurat.org
Govt Engineering College| Bhavnagar,Sir Bhavsinghji Polytechnic Campus Vidyanagar Bhavnagar - 363002 Bhavnagar (Dist) Gujarat,BHAVNAGAR,Gujarat,0278-25153939/ 2426742,bpti@sancharnet.in,
Central Institute of Plastics Engineering & Technology,Plot No 630; Gidc Estate Phase Iv; Vatva Gidc Ahmedabad; Gujarat Ahmedabad - 382445 Ahmedabad (Dist) Gujarat,AHMEDABAD,Gujarat,079 - 25830569/ 25835219/ 25832267,cipetahmd@gmail.com,www.cipet.gov.in
Shree Swaminarayan Institute of Technology,Bhat; Pincode - 382023 Gandhinagar (Dist) Gujarat,GANDHINAGAR,Gujarat,-23969410,info@ssit.co.in,www.ssit.co.in
C. K. Pithawala College Of Engineering & Technology,Near Malvan Mandir Magdalla Port Near Dumas Road Surat - 395007 Surat (Dist) Gujarat,SURAT,Gujarat,0261-6587285/ 2685381/ 25542506,ckpim@rediffmail.com,www.ckpcet.ac.in
Government College of Engineering,Majura Gate Surat - 395001 Surat (Dist) Gujarat,SURAT,Gujarat,079-23221883/23226480,gecsrt@yahoo.com,
Leelaben Dashrathbhai Ramdas Patel Institute of Technology,Sector - 15; Near Kh - 5 Gandhinagar Gandhi Nagar - 382015 Gandhinagar (Dist) Gujarat,GANDHINAGAR,Gujarat,-23241480,info@ldrp.ac.in,http://www.ldrp.ac.in
U. V. Patel Engineering College,Ganpat Vidyanagar Kherva Mehsana Mehsana - 382711 Mehsana (Dist) Gujarat,MEHSANA,Gujarat,02762-286081/286650,principal.uvpce@ganpatuniversity.ac.in,www.uvpce.ac.in
L.J. Institute of Engineering & Technology,Near Sanand Sarkhej Circle S.g. Highway Ahmedabad - 382210 Ahmedabad (Dist) Gujarat,AHMEDABAD,Gujarat,079-26890371/ 26891718,Ljiet7@yahoo.com,www.ljinstitutes.org.
Government Engineering College| Rajkot,Dr. Yagmik Road Rajkot - 360001 Rajkot (Dist) Gujarat,RAJKOT,Gujarat,0281-2480175,gec_raj_2004@yahoo.co.in,
Birla Vishvakarma Mahavidyalaya,Vallabh Vidyanagar P.b. No.20 Anand - 388120 Anand (Dist) Gujarat,ANAND,Gujarat,02692-230104/230192,bvm_princi@yahoo.com,www.bvmengineering.ac.in
Swami Devi Dyal Institute of Engineering & Technology,Golpura Barwala Panchkula (Dist) Haryana,PANCHKULA,Haryana,-264843.0549,sddiet_panchkula@yahoo.com/admin@sddgpi.com,www.sddgpi.com
Star Aviation Academy,P-76; New Palam Vihar; Sector 110; Gurgaon Pincode - 122017 Gurgaon (Dist) Haryana,GURGAON,Haryana,8586928404,info@staraviationacademy.com,www.staraviationindia.org
Echelon Institute of Technology EIT,Kabulpur; Jasana-manjhawali Road Pincode - 121002 Faridabad (Dist) Haryana,FARIDABAD,Haryana,9718312584/0129-2201060,info@echeloninstitute.com,www.echeloninstitute.org
Advanced Institute of Technology & Management,70 Km Stone; Delhi-mathura Road; Aurangabad; Dist. Pincode - 121004 Aurangabad (Dist) Haryana,AURANGABAD,Haryana,+91?1275?398400/ 302222,aitm@aitm.org.in,www.advancedinstitutions.com
National Institute of Technology REC,Kurukshetra; Pincode - 136119 Haryana,,Haryana,,director@nitc.ac.in,http://www.nitc.ac.in
Jind Institute of Engineering and Technology,Near Huda Sec-9 Panipat Road Jind Pincode - 126102 Jind (Dist) Haryana,JIND,Haryana,01681-246466/ 248301/ 247714,jietprincipal@gmail.com,http://www.jiet-jind.com
National Power Training Institute,Npti Complex; Sector-33; Faridabad Pincode - 121003 Faridabad (Dist) Haryana,FARIDABAD,Haryana,0-129-2275475/ 2277412,npti_hq@yahoo.co.in//  nptifaridabad@npti.in,http://www.npti.in/
Gurgaon College of Engineering,Gurgaon Haryana Gurgaon - 122413 Gurgaon (Dist) Haryana,GURGAON,Haryana,0124-2279563-64/ 2279569,gceggn@rediffmail.com,
Kurukshetra. Institute of Technology & Management|,Pehawa Road Haryana Pincode - 136119 Kaimur (bhabua) (Dist) Haryana,KAIMUR (BHABUA),Haryana,9896897379/ 9896324240,kitmkkr@gmail.com,www.kitm.in
BM Institute of Engineering & Technology,Village Raipur Sonepat Pincode - 131001 Sonipat (Dist) Haryana,SONIPAT,Haryana,0130-2242163/2233662/ 2236911-14,director@bmiet.net,
Bhiwani institute of Technology and Science,Kharakhari By Pass Bhiwani Pincode - 127021 Bhiwani (Dist) Haryana,BHIWANI,Haryana,01664-242561,TITBHIWANI@SANCHARNET.IN,
Vaish College Of Engineering,Near Railway Station; Pincode - 124001 Rohtak (Dist) Haryana,ROHTAK,Haryana,1262248443,,
Vaish college of Engineering,Near Railway Station; Pincode - 124001 Rohtak (Dist) Haryana,ROHTAK,Haryana,1262248443,,
MM Engineering College,Village Budhian-mullana Barara Ambala Pincode - 134203 Ambala (Dist) Haryana,AMBALA,Haryana,01731-275797/ 274777-79,info@mmumullana.org,www.mmumullana.org
Ganpati Institute of Technology & Management,Jagadhri Yamuna Nagar Pincode - 135003 Yamunanagar (Dist) Haryana,YAMUNANAGAR,Haryana,,info@gistmpolytechnic.org,www.ganpatiinstitutions.com
N.C.College of Engineering,Israna Nh-71a Panipat Rohtak Road Pincode - 132103 Panipat (Dist) Haryana,PANIPAT,Haryana,0180-2579764/2579835/ 2579678,INFO@NCCE.EDU,www.ncce.edu
JB Knowledge Park,Jb Knowledge Park Manjahwali Faridabad Ncr Pincode - 121102 Faridabad (Dist) Haryana,FARIDABAD,Haryana,9999888321,webmasterjbcollege@gmail.com,http://www.jbcollege.in/
Alfalah School of Engineering & Technology,Village Dhoj Faridabad Faridabad - 121004 Faridabad (Dist) Haryana,FARIDABAD,Haryana,0129-2206223/ 2206593,info@afset.org//  jasiddiqui@rediffmail.com//  fardeen,www.afset.org
BRCM College of Engineering and Technology,Vill-bahal Bhiwani Pincode - 127028 Bhiwani (Dist) Haryana,BHIWANI,Haryana,,infocollege@brcmindia.org,http://www.brcm.edu.in/
Institute of Technology and Management Haryana,Institutional Area Sector-23a Huda Pincode - 122017 Gurgaon (Dist) Haryana,GURGAON,Haryana,+ 91 124 2367488,sanjay@itmindia.edu,http://www.itmindia.edu
Manav Rachna College of Engineering,Sector 43 Faridabad Pincode - 121001 Faridabad (Dist) Haryana,FARIDABAD,Haryana,+91 129 4268500,admissions.mrce@mrei.ac.in,www.mrce.ac.in
Asia Pacific Institute of Information Technology,Faridpur Road G T Karnal Road Side; Near Toll Plaza Panipat - 132103 Panipat (Dist) Haryana,PANIPAT,Haryana,+91 180 6532444/ 6532555,info@apiit.edu.in,www.apiit.edu.in
Anupama College of Engineering,Bhora Kalan Pataudi Road Near Bilaspur Chowk Gurgaon - 122413 Gurgaon (Dist) Haryana,GURGAON,Haryana,08010132944/ 09412260760/ 09219209281,aceggn.rngi@gmail.com// devendragupta10262@gmail.com,www.anupamacollegeofengineering.com
Faridabad Institute of Technology,Aravali Hills; Sector - 43; Faridabad Faridabad - 121001 Faridabad (Dist) Haryana,FARIDABAD,Haryana,,info@mrei.ac.in,
Apeejay College of Engineering,Silani (sohna-palwal Road) Sohana Gurgaon - 122103 Gurgaon (Dist) Haryana,GURGAON,Haryana,+91-0124 2013718-721/ 2013218,ace@apj.edu,http://aces.apeejay.edu/
Chimes Aviation Academy,61; Sector 44 Gurgaon Pincode - 122003 Gurgaon (Dist) Haryana,GURGAON,Haryana,9873662370,admissions@caa.edu.in,http://www.caaindia.com
B.S. Anangpuria Institute of Technology & Management,Vill-alampur Ballabhgarh-sohna Road Faridabad Pincode - 121004 Faridabad (Dist) Haryana,FARIDABAD,Haryana,0129-2206750-53,admission@anangpuria.com/info@anangpuria.com,www.anangpuria.com
Ansal Institute of Technology,Sector 55; Golf Course Road; Gurgaon Gurgaon - 122003 Gurgaon (Dist) Haryana,GURGAON,Haryana,+91 124 4750400/ 501,,www.aitgurgaon.org
B.M. College of Technology & Management,Farrukhnagar Gurgaon Pincode - 122001 Gurgaon (Dist) Haryana,GURGAON,Haryana,0124-2015524,info@bmctm.com,www.bmctm.com
Doon Valley Institute Of Engineering & Technology,Outside Jundla Gate Karnal Pincode - 132001 Karnal (Dist) Haryana,KARNAL,Haryana,0184-3090800/ 9812089553/ 2272338,direthkl@yahoo.co.in,www.doonvalley.org
Dronacharya College of Engineering,Khentawas Farrukh Nagar Pincode - 123506 Gurgaon (Dist) Haryana,GURGAON,Haryana,0124 ? 2375502/ 2375503/ 2375504,info@dronacharya.info,http://ggnindia.dronacharya.info
Dronacharya College of Engineering Haryana,Vill. Khentawas; P.o Farrukh Nagar Gurgaon Gurgaon (Dist) Haryana,GURGAON,Haryana,0124-2375502/503/504,info@dronacharya.info,
Hindu College of Engineering,Industrial Area Sonepat Pincode - 131001 Sonipat (Dist) Haryana,SONIPAT,Haryana,0130-2212756,hce.snp@vidyasonepat.com,http://www.hcesonepat.org
Haryana Institute of Technology,Plot No.34/41 Km Stone Vill Asodha ;bahadurgarh Delhi- Rohtak Road Rohtak (Dist) Haryana,ROHTAK,Haryana,01276-645158,ceohitgroup@gmail.com,www.hit.net.in
Haryana College of Technology & Management.,Ambala Road Kaithal Pincode - 136027 Kaithal (Dist) Haryana,KAITHAL,Haryana,01746-280100-03/ 9810005965,hctm98@rediffmail.com// hctm98@yahoo.com,http://www.hctmkaithal-edu.org/
KIIT College of Engineering.,Sohana Road Kiit Campus Bhondsi Maruti Kunj Road Gurgaon (Dist) Haryana,GURGAON,Haryana,0124 - 4709010/20/30/40/50/ 2658010/20/30/40/50,info@kiit.in,www.kiit.in
Hindustan Institute of Technology & Management,20 K.m. Milestone; N.h. 73; Jagadhri Ambala Road Vpo Dheen Pincode - 133202 Ambala (Dist) Haryana,AMBALA,Haryana,093555-47203/ 204/ 205/ 208,info@hitm.ac.in,www.hitm.ac.in
Technological Institute of Textile & Science,Bhiwani Pincode - 127021 Bhiwani (Dist) Haryana,BHIWANI,Haryana,01664-242561-64,info@titsbhiwani.ac.in,www.titsbhiwani.ac.in
Delhi Institute of Management technology,Gannaur Haryana Pincode - 131001 Haryana,,Haryana,9871678623,dmat.gzb08@yahoo.co.in,www.dimatinstitute.com
Shri Krishna Institute of Engineering and Technology,Village Karsa Road Nilokheri Zila -karnal Kurukshetra Kurukshetra - 136118 Kurukshetra (Dist) Haryana,KURUKSHETRA,Haryana,01744-224218/224221/227040/229641,,
Deenbandhu Chhotu Ram University of Science and Technology,Murthal Sonepat Pincode - 131039 Sonipat (Dist) Haryana,SONIPAT,Haryana,0130-2484003,info@dcrustm.org,www.dcrustm.ac.in
Shree Ram Mulakh Instutute of Engineering & Technology,Naraingarh Ambala Ambala (Dist) Haryana,AMBALA,Haryana,,srmiet@hotmail.com,http://www.srmglobal.in
Applied College of Management and Engineering,Nh 2; Delhi Mathura Road Village Mitrol Palwal Faridabad Faridabad (Dist) Haryana,FARIDABAD,Haryana,,info@acmecollege.in//  admissions@acmecollege.in,www.acmecollege.in
College of Agricultural Engineering & Technology | Hisar,Hisar; Haryana Hissar - 125 004 Hisar (Dist) Haryana,HISAR,Haryana,01662-34952/34613/ 01662 - 237163/ 01662-237721 to,dcoag@hau.ernet.in,www.hau.ernet.in
Ambala College of Engineering and Applied Research,Akbar Pur ; P.o Bihta Ambala Ambala - 133 101 Ambala (Dist) Haryana,AMBALA,Haryana,0171-2821833/ 2822001-003,info@ambalacollege.com,www.ambalacollege.com
YMCA Institute of Engineering & Technology,Zakir Nagar Sector-6 Mathura Road Pincode - 121006 Faridabad (Dist) Haryana,FARIDABAD,Haryana,0129-2242143/2247197/9811735202,contact@ymcaust.ac.in,www.ymcaust.ac.in
Institute of Science and Technology,Dhurabila Dhamkuria; Chandrakona Town Paschim Medinipur Pincode - 721201 West Medinipur (Dist) West Bengal,YAMUNANAGAR,Haryana,-270422,principal@istonline.org.in,http://www.istonline.org.in/
Shivalik Institute of Engineering & Technology,Aliyaspur Dosarka Sadhaura Road Pincode - 134003 Haryana,,Haryana,0171-3054600-699,siet.ambala@gmail.com,www.shivalikinstitutes.com
Gateway Institute of Engineering and Technology,Gateway Campus; Sector 11 Pincode - 131001 Sonipat (Dist) Haryana,SONIPAT,Haryana,9650066221,admissions@gateway.edu.in,http://www.gateway.edu.in/giet
Career Institute of Technology and Management,Sector-43; Aravalli Hills Bhadkal Surajkund Road Pincode - 121001 Faridabad (Dist) Haryana,FARIDABAD,Haryana,0129-2370606/2370608/2370663,manager.admissions@mriu.edu.in,www.mriu.edu.in
Geeta Institute of Management and Technology.,166 Km Milestone N.h. 1 At Village Kanipla P.o Khanpur Kolian;thaneasar Haryana,,Haryana,,gimt@gimtkkr.com,www.gimt.edu.in
Panipat Institute of Engineering & Technology,70 Km Stone G.t. Road Panipat Pincode - 132103 Panipat (Dist) Haryana,PANIPAT,Haryana,0180-2569700/2569699/2569799/3059200,info@piet.co.in,www.piet.co.in
World Institute of Technology,Sona Palwal Road Nh 71 B; Sohna Gurgaon Gurgaon (Dist) Haryana,GURGAON,Haryana,8059811068/09812829027/09711524656,info@wit.net.in,www.wit.net.in
Department Of Instrumentation Technology| Kurukshetra University,Kurukshetra Pincode - 136119 Haryana,,Haryana,,,
Ch. Devi Lal Memorial Engineering College,21 Km Stone Sirsa;dabwali Road Panniwala Mota Sirsa Sirsa - 125055 Sirsa (Dist) Haryana,SIRSA,Haryana,01666-226902/ 240716,dsmor@rediffmail.com,
Lingaya's Institute of Management and Technology,Nachauli;old Faridabaad Jasana Road Pincode - 121002 Faridabad (Dist) Haryana,FARIDABAD,Haryana,0129-2202614/2202296/ 2201008,KDSHARMA@LIMAT.ORG,
Sat Priya Institute of Engineering and Technology,0.5 Km Mile Stone Road Rohtak Haryana Pincode - 124001 Rohtak (Dist) Haryana,ROHTAK,Haryana,-245065.989,rohitarya@spgoi.com,www.spiet.org
Seth Jai Parkash Mukand Lal Institute of Engineering & Technology,Village Radaur Yamuna Nagar Pincode - 135133 Yamunanagar (Dist) Haryana,YAMUNANAGAR,Haryana,01732-283800/ 284779/ 283700/ 284195,principal@jmit.ac.in,www.jmit.ac.in
SGT Institute of Engineering College,Sgt Institute Of Engineering & Technology Pincode - 122505 Gurgaon (Dist) Haryana,GURGAON,Haryana,0124-2278075,info@sgtengineeringcollege.org,http://sgtengineeringcollege.org
